origin,destination,price_usd,bucket,color
MXP,TKM,,No Data,#CCCCCC
MXP,VSG,,No Data,#CCCCCC
MXP,GUD,,No Data,#CCCCCC
MXP,FCA,1646.57,>1000,#FF0000
MXP,YMK,,No Data,#CCCCCC
MXP,YEC,,No Data,#CCCCCC
MXP,CPB,,No Data,#CCCCCC
MXP,FNC,185.91,100-200,#00FF00
MXP,YQW,,No Data,#CCCCCC
MXP,DHI,,No Data,#CCCCCC
MXP,CIZ,,No Data,#CCCCCC
MXP,SAW,325.19,200-400,#008000
MXP,YBY,,No Data,#CCCCCC
MXP,DOL,,No Data,#CCCCCC
MXP,GCN,,No Data,#CCCCCC
MXP,YLX,651.44,400-800,#FFFF00
MXP,TFI,,No Data,#CCCCCC
MXP,OCF,,No Data,#CCCCCC
MXP,IST,94.64,<100,#0000FF
MXP,BTO,,No Data,#CCCCCC
MXP,TDD,,No Data,#CCCCCC
MXP,DZN,,No Data,#CCCCCC
MXP,-,,No Data,#CCCCCC
MXP,CXL,,No Data,#CCCCCC
MXP,AGF,,No Data,#CCCCCC
MXP,ORN,122.47,100-200,#00FF00
MXP,ADX,,No Data,#CCCCCC
MXP,YAW,,No Data,#CCCCCC
MXP,EDA,,No Data,#CCCCCC
MXP,YGL,,No Data,#CCCCCC
MXP,AFS,,No Data,#CCCCCC
MXP,KEN,,No Data,#CCCCCC
MXP,FMH,,No Data,#CCCCCC
MXP,SPS,,No Data,#CCCCCC
MXP,KZI,,No Data,#CCCCCC
MXP,CMD,,No Data,#CCCCCC
MXP,ENC,,No Data,#CCCCCC
MXP,AMH,542.65,400-800,#FFFF00
MXP,JHG,635.15,400-800,#FFFF00
MXP,TAL,,No Data,#CCCCCC
MXP,REC,568.24,400-800,#FFFF00
MXP,CXP,,No Data,#CCCCCC
MXP,NQA,,No Data,#CCCCCC
MXP,YOO,,No Data,#CCCCCC
MXP,TYQ,,No Data,#CCCCCC
MXP,NEW,,No Data,#CCCCCC
MXP,TMK,,No Data,#CCCCCC
MXP,POR,205.34,200-400,#008000
MXP,AOG,,No Data,#CCCCCC
MXP,SMX,,No Data,#CCCCCC
MXP,GDW,,No Data,#CCCCCC
MXP,HMV,,No Data,#CCCCCC
MXP,JMU,,No Data,#CCCCCC
MXP,ASP,1208.08,>1000,#FF0000
MXP,TMX,220.2,200-400,#008000
MXP,PVU,,No Data,#CCCCCC
MXP,YXT,,No Data,#CCCCCC
MXP,UKT,,No Data,#CCCCCC
MXP,NBC,,No Data,#CCCCCC
MXP,CKB,,No Data,#CCCCCC
MXP,ROB,567.65,400-800,#FFFF00
MXP,COV,212.19,200-400,#008000
MXP,TUU,316.38,200-400,#008000
MXP,MLA,134.33,100-200,#00FF00
MXP,SRA,,No Data,#CCCCCC
MXP,SAK,,No Data,#CCCCCC
MXP,GKA,3883.05,>1000,#FF0000
MXP,LJA,,No Data,#CCCCCC
MXP,WMN,,No Data,#CCCCCC
MXP,EAA,,No Data,#CCCCCC
MXP,AHO,,No Data,#CCCCCC
MXP,PHA,,No Data,#CCCCCC
MXP,ULC,,No Data,#CCCCCC
MXP,KEJ,,No Data,#CCCCCC
MXP,PAZ,,No Data,#CCCCCC
MXP,PPL,,No Data,#CCCCCC
MXP,ROP,,No Data,#CCCCCC
MXP,PSR,,No Data,#CCCCCC
MXP,NMA,,No Data,#CCCCCC
MXP,VDS,,No Data,#CCCCCC
MXP,SUR,,No Data,#CCCCCC
MXP,GTO,,No Data,#CCCCCC
MXP,CGK,394.01,200-400,#008000
MXP,OLB,,No Data,#CCCCCC
MXP,DOK,,No Data,#CCCCCC
MXP,CCM,,No Data,#CCCCCC
MXP,SJI,,No Data,#CCCCCC
MXP,SUV,,No Data,#CCCCCC
MXP,UGA,,No Data,#CCCCCC
MXP,EPU,,No Data,#CCCCCC
MXP,FLW,,No Data,#CCCCCC
MXP,ADD,377.39,200-400,#008000
MXP,HRT,,No Data,#CCCCCC
MXP,EVV,,No Data,#CCCCCC
MXP,YYC,472.02,400-800,#FFFF00
MXP,DNV,,No Data,#CCCCCC
MXP,PKP,,No Data,#CCCCCC
MXP,GSA,,No Data,#CCCCCC
MXP,AIN,,No Data,#CCCCCC
MXP,CAH,,No Data,#CCCCCC
MXP,MCM,,No Data,#CCCCCC
MXP,EBL,153.64,100-200,#00FF00
MXP,SFB,,No Data,#CCCCCC
MXP,BRX,,No Data,#CCCCCC
MXP,SAX,,No Data,#CCCCCC
MXP,WIO,,No Data,#CCCCCC
MXP,SME,,No Data,#CCCCCC
MXP,SXF,,No Data,#CCCCCC
MXP,OOK,,No Data,#CCCCCC
MXP,TVY,2240.06,>1000,#FF0000
MXP,MEU,,No Data,#CCCCCC
MXP,CRA,,No Data,#CCCCCC
MXP,YAV,,No Data,#CCCCCC
MXP,BET,,No Data,#CCCCCC
MXP,PAY,,No Data,#CCCCCC
MXP,INK,,No Data,#CCCCCC
MXP,MHE,,No Data,#CCCCCC
MXP,ESF,,No Data,#CCCCCC
MXP,QGN,,No Data,#CCCCCC
MXP,QDH,,No Data,#CCCCCC
MXP,KXA,,No Data,#CCCCCC
MXP,GHB,,No Data,#CCCCCC
MXP,NDA,,No Data,#CCCCCC
MXP,LMJ,,No Data,#CCCCCC
MXP,BJC,,No Data,#CCCCCC
MXP,VBT,,No Data,#CCCCCC
MXP,JBU,,No Data,#CCCCCC
MXP,IHU,,No Data,#CCCCCC
MXP,LDJ,,No Data,#CCCCCC
MXP,IZO,602.71,400-800,#FFFF00
MXP,SLL,394.44,200-400,#008000
MXP,XDK,,No Data,#CCCCCC
MXP,SVX,301.19,200-400,#008000
MXP,CLN,,No Data,#CCCCCC
MXP,NDZ,,No Data,#CCCCCC
MXP,GSQ,,No Data,#CCCCCC
MXP,ORA,,No Data,#CCCCCC
MXP,IMM,,No Data,#CCCCCC
MXP,PEN,470.17,400-800,#FFFF00
MXP,TIM,840.92,800-1000,#FFA500
MXP,PAF,,No Data,#CCCCCC
MXP,TMB,,No Data,#CCCCCC
MXP,ISE,222.19,200-400,#008000
MXP,HLY,,No Data,#CCCCCC
MXP,LTX,,No Data,#CCCCCC
MXP,ORX,,No Data,#CCCCCC
MXP,ODY,,No Data,#CCCCCC
MXP,AKY,,No Data,#CCCCCC
MXP,SKH,,No Data,#CCCCCC
MXP,UDJ,,No Data,#CCCCCC
MXP,BWU,,No Data,#CCCCCC
MXP,ARV,,No Data,#CCCCCC
MXP,ISB,352.01,200-400,#008000
MXP,NAJ,,No Data,#CCCCCC
MXP,HOR,,No Data,#CCCCCC
MXP,FNT,,No Data,#CCCCCC
MXP,ELG,,No Data,#CCCCCC
MXP,LRV,,No Data,#CCCCCC
MXP,YCO,,No Data,#CCCCCC
MXP,MSL,2834.41,>1000,#FF0000
MXP,VQQ,,No Data,#CCCCCC
MXP,WUN,,No Data,#CCCCCC
MXP,VRC,,No Data,#CCCCCC
MXP,DMK,,No Data,#CCCCCC
MXP,AAS,,No Data,#CCCCCC
MXP,YXD,,No Data,#CCCCCC
MXP,KDY,,No Data,#CCCCCC
MXP,JLR,,No Data,#CCCCCC
MXP,LAY,,No Data,#CCCCCC
MXP,AKK,,No Data,#CCCCCC
MXP,CZS,,No Data,#CCCCCC
MXP,CMA,,No Data,#CCCCCC
MXP,LSA,,No Data,#CCCCCC
MXP,ВГЖ,,No Data,#CCCCCC
MXP,GOM,772.86,400-800,#FFFF00
MXP,OSL,66.19,<100,#0000FF
MXP,PIO,,No Data,#CCCCCC
MXP,AVL,1331.57,>1000,#FF0000
MXP,COS,886.08,800-1000,#FFA500
MXP,BZZ,,No Data,#CCCCCC
MXP,EZV,,No Data,#CCCCCC
MXP,NLI,,No Data,#CCCCCC
MXP,IOA,110.24,100-200,#00FF00
MXP,YRJ,,No Data,#CCCCCC
MXP,LGW,85.37,<100,#0000FF
MXP,XMS,,No Data,#CCCCCC
MXP,SIS,,No Data,#CCCCCC
MXP,QLA,,No Data,#CCCCCC
MXP,ECA,,No Data,#CCCCCC
MXP,POM,1137.09,>1000,#FF0000
MXP,NRL,,No Data,#CCCCCC
MXP,UAP,,No Data,#CCCCCC
MXP,OBD,,No Data,#CCCCCC
MXP,OLK,,No Data,#CCCCCC
MXP,CAJ,,No Data,#CCCCCC
MXP,BZY,,No Data,#CCCCCC
MXP,AQG,,No Data,#CCCCCC
MXP,FMI,,No Data,#CCCCCC
MXP,HYG,,No Data,#CCCCCC
MXP,TSV,781.77,400-800,#FFFF00
MXP,WLK,,No Data,#CCCCCC
MXP,BVB,630.68,400-800,#FFFF00
MXP,PEW,339.01,200-400,#008000
MXP,HOG,,No Data,#CCCCCC
MXP,ZAJ,,No Data,#CCCCCC
MXP,YKZ,,No Data,#CCCCCC
MXP,PGX,,No Data,#CCCCCC
MXP,KKU,,No Data,#CCCCCC
MXP,UKY,,No Data,#CCCCCC
MXP,FMN,,No Data,#CCCCCC
MXP,LXR,245.7,200-400,#008000
MXP,HAE,,No Data,#CCCCCC
MXP,NDY,,No Data,#CCCCCC
MXP,UEO,,No Data,#CCCCCC
MXP,BSC,,No Data,#CCCCCC
MXP,SVU,,No Data,#CCCCCC
MXP,HFS,,No Data,#CCCCCC
MXP,OIR,2886.69,>1000,#FF0000
MXP,IFO,,No Data,#CCCCCC
MXP,NYI,,No Data,#CCCCCC
MXP,RVK,,No Data,#CCCCCC
MXP,ORT,,No Data,#CCCCCC
MXP,HTA,,No Data,#CCCCCC
MXP,ZPQ,,No Data,#CCCCCC
MXP,ESE,,No Data,#CCCCCC
MXP,XKS,,No Data,#CCCCCC
MXP,TOJ,,No Data,#CCCCCC
MXP,AGQ,,No Data,#CCCCCC
MXP,SQJ,,No Data,#CCCCCC
MXP,KEV,,No Data,#CCCCCC
MXP,ROK,1117.92,>1000,#FF0000
MXP,PPK,,No Data,#CCCCCC
MXP,YSC,,No Data,#CCCCCC
MXP,AAN,,No Data,#CCCCCC
MXP,BFS,1461.17,>1000,#FF0000
MXP,PSH,,No Data,#CCCCCC
MXP,TAM,1374.85,>1000,#FF0000
MXP,PHN,,No Data,#CCCCCC
MXP,YLT,,No Data,#CCCCCC
MXP,XBJ,,No Data,#CCCCCC
MXP,RBE,,No Data,#CCCCCC
MXP,GZP,212.19,200-400,#008000
MXP,JAT,,No Data,#CCCCCC
MXP,QHR,,No Data,#CCCCCC
MXP,RBB,,No Data,#CCCCCC
MXP,LVO,,No Data,#CCCCCC
MXP,TIV,306.62,200-400,#008000
MXP,STB,,No Data,#CCCCCC
MXP,LSY,,No Data,#CCCCCC
MXP,PRX,,No Data,#CCCCCC
MXP,TJM,,No Data,#CCCCCC
MXP,HUU,,No Data,#CCCCCC
MXP,YAG,3854.78,>1000,#FF0000
MXP,KDM,901.33,800-1000,#FFA500
MXP,RHO,105.24,100-200,#00FF00
MXP,ODS,,No Data,#CCCCCC
MXP,ACS,,No Data,#CCCCCC
MXP,GED,,No Data,#CCCCCC
MXP,RXS,856.66,800-1000,#FFA500
MXP,UKG,,No Data,#CCCCCC
MXP,MAS,,No Data,#CCCCCC
MXP,RPN,,No Data,#CCCCCC
MXP,PUZ,,No Data,#CCCCCC
MXP,MBP,,No Data,#CCCCCC
MXP,KDA,,No Data,#CCCCCC
MXP,XLS,,No Data,#CCCCCC
MXP,LNX,,No Data,#CCCCCC
MXP,RNO,972.19,800-1000,#FFA500
MXP,ASO,,No Data,#CCCCCC
MXP,LNE,,No Data,#CCCCCC
MXP,LCH,1331.57,>1000,#FF0000
MXP,OBU,,No Data,#CCCCCC
MXP,RNJ,3741.62,>1000,#FF0000
MXP,GPZ,,No Data,#CCCCCC
MXP,ASB,567.92,400-800,#FFFF00
MXP,LCA,73.47,<100,#0000FF
MXP,XRY,163.46,100-200,#00FF00
MXP,ENA,,No Data,#CCCCCC
MXP,,,No Data,#CCCCCC
MXP,AKX,503.3,400-800,#FFFF00
MXP,VHC,,No Data,#CCCCCC
MXP,MPV,,No Data,#CCCCCC
MXP,IXH,,No Data,#CCCCCC
MXP,YEU,,No Data,#CCCCCC
MXP,KNX,1536.86,>1000,#FF0000
MXP,SHY,,No Data,#CCCCCC
MXP,AIZ,,No Data,#CCCCCC
MXP,MAK,,No Data,#CCCCCC
MXP,DTU,,No Data,#CCCCCC
MXP,ZQW,,No Data,#CCCCCC
MXP,HRN,,No Data,#CCCCCC
MXP,SFL,,No Data,#CCCCCC
MXP,ZAU,,No Data,#CCCCCC
MXP,PBH,,No Data,#CCCCCC
MXP,ZEG,,No Data,#CCCCCC
MXP,NAV,212.19,200-400,#008000
MXP,TGP,,No Data,#CCCCCC
MXP,TGK,,No Data,#CCCCCC
MXP,ZWL,,No Data,#CCCCCC
MXP,KDR,,No Data,#CCCCCC
MXP,UTC,,No Data,#CCCCCC
MXP,YGH,,No Data,#CCCCCC
MXP,EGS,404.6,400-800,#FFFF00
