origin,destination,price_usd,bucket,color
MXP,SCY,,No Data,#CCCCCC
MXP,YOG,,No Data,#CCCCCC
MXP,PJA,,No Data,#CCCCCC
MXP,DUB,128.11,100-200,#00FF00
MXP,DRO,1576.57,>1000,#FF0000
MXP,BMK,,No Data,#CCCCCC
MXP,VQS,,No Data,#CCCCCC
MXP,TEQ,,No Data,#CCCCCC
MXP,LZO,645.44,400-800,#FFFF00
MXP,YRS,,No Data,#CCCCCC
MXP,CRK,824.96,800-1000,#FFA500
MXP,JSH,186.04,100-200,#00FF00
MXP,WJA,,No Data,#CCCCCC
MXP,BRM,,No Data,#CCCCCC
MXP,SON,,No Data,#CCCCCC
MXP,LNV,,No Data,#CCCCCC
MXP,TTH,,No Data,#CCCCCC
MXP,TCD,,No Data,#CCCCCC
MXP,GRM,,No Data,#CCCCCC
MXP,YWA,,No Data,#CCCCCC
MXP,TTN,,No Data,#CCCCCC
MXP,YEV,,No Data,#CCCCCC
MXP,SST,,No Data,#CCCCCC
MXP,BEI,,No Data,#CCCCCC
MXP,MYE,,No Data,#CCCCCC
MXP,PLN,,No Data,#CCCCCC
MXP,KIF,,No Data,#CCCCCC
MXP,KAD,,No Data,#CCCCCC
MXP,CCS,448.78,400-800,#FFFF00
MXP,YKF,,No Data,#CCCCCC
MXP,TIE,,No Data,#CCCCCC
MXP,SGO,,No Data,#CCCCCC
MXP,MMV,,No Data,#CCCCCC
MXP,ALE,,No Data,#CCCCCC
MXP,NYN,,No Data,#CCCCCC
MXP,BUC,,No Data,#CCCCCC
MXP,QFD,,No Data,#CCCCCC
MXP,ZFD,,No Data,#CCCCCC
MXP,VLN,,No Data,#CCCCCC
MXP,MVL,,No Data,#CCCCCC
MXP,PBG,2856.57,>1000,#FF0000
MXP,IBA,,No Data,#CCCCCC
MXP,PER,801.14,800-1000,#FFA500
MXP,YIH,549.15,400-800,#FFFF00
MXP,STW,,No Data,#CCCCCC
MXP,BHN,,No Data,#CCCCCC
MXP,PTZ,,No Data,#CCCCCC
MXP,MIB,,No Data,#CCCCCC
MXP,MLY,,No Data,#CCCCCC
MXP,DIJ,,No Data,#CCCCCC
MXP,KWN,,No Data,#CCCCCC
MXP,ZWU,,No Data,#CCCCCC
MXP,PEZ,,No Data,#CCCCCC
MXP,LTZ,,No Data,#CCCCCC
MXP,CLP,,No Data,#CCCCCC
MXP,GYD,154.11,100-200,#00FF00
MXP,HPH,627.24,400-800,#FFFF00
MXP,KOI,,No Data,#CCCCCC
MXP,MBC,,No Data,#CCCCCC
MXP,ZAD,282.23,200-400,#008000
MXP,CAF,,No Data,#CCCCCC
MXP,ARR,,No Data,#CCCCCC
